elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
1000,11.4,32,72,13,6,0,0,1,1,1,0
804,23.3,14,34,21,5,0,0,0,0,0,0
1871,15.5,329,79,22,4,0,0,1,1,1,0
19.8,15.7,62,41,20,11.6,0,0,0,0,0,0
35.2,10.8,53,45,29,24,0,0,0,0,1,0
2154,6.1,132,35,22,4,0,0,1,0,0,0
28.9,0.1,40,56,5,20.8,0,0,0,0,0,0
21.7,16.6,51,57,21,8.6,0,0,0,0,0,0
23.8,5,53,67,3,41.8,0,0,0,1,1,0
1137,9.8,399,67,11,2,0,0,0,0,0,0
43,15.3,61,59,3,18.9,0,0,0,0,1,0
15.2,19,30,33,17,28,0,0,0,0,0,0
582,0.7,311,67,19,2,0,0,1,0,0,1
30.6,21,64,38,7,29.8,0,0,0,0,0,0
449,18.6,11,73,14,1,0,0,0,0,1,1
20,23.7,68,42,25,24,0,0,0,1,0,0
24.9,18.3,46,38,3,11.7,0,0,0,0,0,0
2348,16.8,404,35,22,6,0,0,0,0,0,0
469,23.4,152,50,22,2,0,0,1,1,0,0
41.7,17.9,85,71,6,34,0,0,1,1,0,0
472,24,23,78,11,1,0,0,0,0,1,1
44.9,6.3,85,45,3,11.6,0,0,0,1,0,0
41.5,15,40,66,28,33.1,0,0,1,0,0,0
32.6,14.2,47,39,18,8.8,0,0,0,1,0,0
42.7,4.8,64,57,30,9.8,0,0,0,1,1,0
910,13.9,127,75,9,1,0,0,1,1,0,0
1149,14.6,1,39,15,5,0,0,0,0,1,0
30,3.7,40,47,3,16.6,0,0,1,0,0,0
21.5,19.3,57,74,16,44,0,0,1,0,0,0
2145,3,2,64,14,4,0,0,0,0,0,1
972,18.5,117,64,27,2,0,0,0,0,1,0
50,17.6,70,49,28,28.2,0,0,1,0,0,0
20.8,4,30,49,9,18.9,0,0,0,0,0,0
33.8,0.8,37,33,9,16,0,0,0,0,0,0
20,23.1,40,68,24,13.7,0,0,1,0,0,0
50,19.5,30,75,30,40,0,0,0,0,0,0
28,18.2,95,40,22,13.3,0,0,1,1,0,0
2285,11.3,1257,63,27,6,0,0,0,0,0,0
26,19.1,73,73,19,13,0,0,0,0,0,0
2292,11.9,184,61,17,4,0,0,1,1,1,0
17.1,0.4,39,74,20,8.8,0,0,0,0,0,0
20,21.2,77,56,21,19.4,0,0,0,0,0,0
42.6,2.7,70,52,29,14.7,0,0,1,1,0,0
40.7,10.8,65,72,20,52.9,0,0,0,0,1,0
36.4,20.3,88,73,21,14.3,0,0,0,0,0,0
31.9,3.3,81,43,8,22.4,0,0,0,1,1,0
838,9,469,65,25,6,0,0,0,0,0,0
12.4,14.4,30,40,30,17.4,0,0,0,1,0,0
39.5,9.9,40,53,5,19.4,0,0,0,1,0,0
2066,20,58,35,24,6,0,0,1,0,0,0
20,16,94,34,12,22.6,0,0,0,0,0,0
1148,1.6,326,70,13,6,0,0,1,1,1,0
36.8,2.1,51,55,8,29.3,0,0,0,0,0,0
836,22.7,107,75,14,2,0,0,1,1,0,0
50,21.7,68,77,28,30.4,0,0,1,0,0,0
23.7,20.6,30,50,23,22.3,0,0,0,1,0,0
1735,6.5,130,49,14,6,0,0,1,0,0,0
46.2,17.3,53,39,25,16,0,0,1,1,0,0
1315,12.3,211,77,29,4,0,0,0,0,0,0
